T,B6,B8,B9,B7
3.2,0.976364,0.977177,1.01336,0.990745
3.21,0.976364,0.977177,1.01336,0.990745
3.22,0.976364,0.977177,1.01336,0.990745
3.23,0.976364,0.977177,1.01336,0.990745
3.24,0.976364,0.977177,1.01336,0.990745
3.25,0.976364,0.977177,1.01336,0.990745
3.26,0.976364,0.977177,1.01336,0.990745
3.27,0.976364,0.977177,1.01336,0.990745
3.28,0.976364,0.977177,1.01336,0.990745
3.29,0.976364,0.977177,1.01336,0.990745
3.3,0.976364,0.977177,1.01336,0.990745
3.31,0.976364,0.977177,1.01336,0.990745
3.32,0.976364,0.977177,1.01336,0.990745
3.33,0.976364,0.977177,1.01336,0.990745
3.34,0.976364,0.977177,1.01336,0.990745
3.35,0.976364,0.977177,1.01336,0.990745
3.36,0.976364,0.977177,1.01336,0.990745
3.37,0.976364,0.977177,1.01336,0.990745
3.38,0.976364,0.977177,1.01336,0.990745
3.39,0.976364,0.977177,1.01336,0.990745
3.4,0.976364,0.977177,1.01336,0.990745
3.41,0.976364,0.977177,1.01336,0.990745
3.42,0.976364,0.977177,1.01336,0.990745
3.43,0.976364,0.977177,1.01336,0.990745
3.44,0.976364,0.977177,1.01336,0.990745
3.45,0.976364,0.977177,1.01336,0.990745
3.46,0.976364,0.977177,1.01336,0.990745
3.47,0.976364,0.977177,1.01336,0.990745
3.48,0.976364,0.977177,1.01336,0.990745
3.49,0.976364,0.977177,1.01336,0.990745
3.5,0.976364,0.977177,1.01336,0.990745
3.51,0.976364,0.977177,1.01336,0.990745
3.52,0.976364,0.977177,1.01336,0.990745
3.53,0.976364,0.977177,1.01336,0.990745
3.54,0.976364,0.977177,1.01336,0.990745
3.55,0.976364,0.977177,1.01336,0.990745
3.56,0.976364,0.977177,1.01336,0.990745
3.57,0.976364,0.977177,1.01336,0.990745
3.58,0.976364,0.977177,1.01336,0.990745
3.59,0.976364,0.977177,1.01336,0.990745
3.6,0.976364,0.977177,1.01336,0.990745
3.61,0.976364,0.977177,1.01336,0.990745
3.62,0.976364,0.977177,1.01336,0.990745
3.63,0.976364,0.977177,1.01336,0.990745
3.64,0.976364,0.977177,1.01336,0.990745
3.65,0.976364,0.977177,1.01336,0.990745
3.66,0.976364,0.977177,1.01336,0.990745
3.67,0.976364,0.977177,1.01336,0.990745
3.68,0.976364,0.977177,1.01336,0.990745
3.69,0.976364,0.977177,1.01336,0.990745
3.7,0.976364,0.977177,1.01336,0.990745
3.71,0.976364,0.977177,1.01336,0.990745
3.72,0.976364,0.977177,1.01336,0.990745
3.73,0.976364,0.977177,1.01336,0.990745
3.74,0.976364,0.977177,1.01336,0.990745
3.75,0.976364,0.977177,1.01336,0.990745
3.76,0.976364,0.977177,1.01336,0.990745
3.77,0.976364,0.977177,1.01336,0.990745
3.78,0.976364,0.977177,1.01336,0.990745
3.79,0.976364,0.977177,1.01336,0.990745
3.8,0.976364,0.977177,1.01336,0.990745
3.81,0.976364,0.977177,1.01336,0.990745
3.82,0.976364,0.977177,1.01336,0.990745
3.83,0.976364,0.977177,1.01336,0.990745
3.84,0.976364,0.977177,1.01336,0.990745
3.85,0.976364,0.977177,1.01336,0.990745
3.86,0.976364,0.977177,1.01336,0.990745
3.87,0.976364,0.977177,1.01336,0.990745
3.88,0.976364,0.977177,1.01336,0.990745
3.89,0.976364,0.977177,1.01336,0.990745
3.9,0.976364,0.977177,1.01336,0.990745
3.91,0.976364,0.977177,1.01336,0.990745
3.92,0.976364,0.977177,1.01336,0.990745
3.93,0.976364,0.977177,1.01336,0.990745
3.94,0.976364,0.977177,1.01336,0.990745
3.95,0.976364,0.977177,1.01336,0.990745
3.96,0.976364,0.977177,1.01336,0.990745
3.97,0.976364,0.977177,1.01336,0.990745
3.98,0.976364,0.977177,1.01336,0.990745
3.99,0.976364,0.977177,1.01336,0.990745
4,0.976364,0.977177,1.01336,0.990745
4.01,0.976364,0.977177,1.01336,0.990745
4.02,0.976364,0.977177,1.01336,0.990745
4.03,0.976364,0.977177,1.01336,0.990745
4.04,0.976364,0.977177,1.01336,0.990745
4.05,0.976364,0.977177,1.01336,0.990745
4.06,0.976364,0.977177,1.01336,0.990745
4.07,0.976364,0.977177,1.01336,0.990745
4.08,0.976364,0.977177,1.01336,0.990745
4.09,0.976364,0.977177,1.01336,0.990745
4.1,0.976364,0.977177,1.01336,0.990745
4.11,0.976364,0.977177,1.01336,0.990745
4.12,0.976364,0.977177,1.01336,0.990745
4.13,0.976364,0.977177,1.01336,0.990745
4.14,0.976364,0.977177,1.01336,0.990745
4.15,0.976364,0.977177,1.01336,0.990745
4.16,0.976364,0.977177,1.01336,0.990745
4.17,0.976364,0.977177,1.01336,0.990745
4.18,0.976364,0.977177,1.01336,0.990745
4.19,0.976364,0.977177,1.01336,0.990745
4.2,0.976364,0.977177,1.01336,0.990745
4.21,0.976364,0.977177,1.01336,0.990745
4.22,0.976364,0.977177,1.01336,0.990745
4.23,0.976364,0.977177,1.01336,0.990745
4.24,0.976364,0.977177,1.01336,0.990745
4.25,0.976364,0.977177,1.01336,0.990745
4.26,0.976364,0.977177,1.01336,0.990745
4.27,0.976364,0.977177,1.01336,0.990745
4.28,0.976364,0.977177,1.01336,0.990745
4.29,0.976364,0.977177,1.01336,0.990745
4.3,0.976364,0.977177,1.01336,0.990745
4.31,0.976364,0.977177,1.01336,0.990745
4.32,0.976364,0.977177,1.01336,0.990745
4.33,0.976364,0.977177,1.01336,0.990745
4.34,0.976364,0.977177,1.01336,0.990745
4.35,0.976364,0.977177,1.01336,0.990745
4.36,0.976364,0.977177,1.01336,0.990745
4.37,0.976364,0.977177,1.01336,0.990745
4.38,0.976364,0.977177,1.01336,0.990745
4.39,0.976364,0.977177,1.01336,0.990745
4.4,0.976364,0.977177,1.01336,0.990745
4.41,0.976364,0.977177,1.01336,0.990745
4.42,0.976364,0.977177,1.01336,0.990745
4.43,0.976364,0.977177,1.01336,0.990745
4.44,0.976364,0.977177,1.01336,0.990745
4.45,0.976364,0.977177,1.01336,0.990745
4.46,0.976364,0.977177,1.01336,0.990745
4.47,0.976364,0.977177,1.01336,0.990745
4.48,0.976364,0.977177,1.01336,0.990745
4.49,0.976364,0.977177,1.01336,0.990745
4.5,0.976364,0.977177,1.01336,0.990745
4.51,0.976364,0.977177,1.01336,0.990745
4.52,0.976364,0.977177,1.01336,0.990745
4.53,0.976364,0.977177,1.01336,0.990745
4.54,0.976364,0.977177,1.01336,0.990745
4.55,0.976364,0.977177,1.01336,0.990745
4.56,0.976364,0.977177,1.01336,0.990745
4.57,0.976364,0.977177,1.01336,0.990745
4.58,0.976364,0.977177,1.01336,0.990745
4.59,0.976364,0.977177,1.01336,0.990745
4.6,0.976364,0.977177,1.01336,0.990745
4.61,0.976364,0.977177,1.01336,0.990745
4.62,0.976364,0.977177,1.01336,0.990745
4.63,0.976364,0.977177,1.01336,0.990745
4.64,0.976364,0.977177,1.01336,0.990745
4.65,0.976364,0.977177,1.01336,0.990745
4.66,0.976364,0.977177,1.01336,0.990745
4.67,0.976364,0.977177,1.01336,0.990745
4.68,0.976364,0.977177,1.01336,0.990745
4.69,0.976364,0.977177,1.01336,0.990745
4.7,0.976364,0.977177,1.01336,0.990745
4.71,0.976364,0.977177,1.01336,0.990745
4.72,0.976364,0.977177,1.01336,0.990745
4.73,0.976364,0.977177,1.01336,0.990745
4.74,0.976364,0.977177,1.01336,0.990745
4.75,0.976364,0.977177,1.01336,0.990745
4.76,0.976364,0.977177,1.01336,0.990745
4.77,0.976364,0.977177,1.01336,0.990745
4.78,0.976364,0.977177,1.01336,0.990745
4.79,0.976364,0.977177,1.01336,0.990745
4.8,0.976364,0.977177,1.01336,0.990745
4.81,0.976364,0.977177,1.01336,0.990745
4.82,0.976364,0.977177,1.01336,0.990745
4.83,0.976364,0.977177,1.01336,0.990745
4.84,0.976364,0.977177,1.01336,0.990745
4.85,0.976364,0.977177,1.01336,0.990745
4.86,0.976364,0.977177,1.01336,0.990745
4.87,0.976364,0.977177,1.01336,0.990745
4.88,0.976364,0.977177,1.01336,0.990745
4.89,0.976364,0.977177,1.01336,0.990745
4.9,0.976364,0.977177,1.01336,0.990745
4.91,0.976364,0.977177,1.01336,0.990745
4.92,0.976364,0.977177,1.01336,0.990745
4.93,0.976364,0.977177,1.01336,0.990745
4.94,0.976364,0.977177,1.01336,0.990745
4.95,0.976364,0.977177,1.01336,0.990745
4.96,0.976364,0.977177,1.01336,0.990745
4.97,0.976364,0.977177,1.01336,0.990745
4.98,0.976364,0.977177,1.01336,0.990745
4.99,0.976364,0.977177,1.01336,0.990745
5,0.976364,0.977177,1.01336,0.990745
5.005,0.94754,0.83868,0.908739,0.933073
5.011667,0.948642,0.844956,0.910538,0.943557
5.021667,0.948552,0.843824,0.909469,0.942603
5.031667,0.948655,0.843191,0.908666,0.942415
5.041667,0.948589,0.842074,0.907699,0.941773
5.051667,0.948931,0.84126,0.907063,0.941318
5.061667,0.949489,0.840773,0.90665,0.941324
5.071667,0.950079,0.840077,0.906218,0.94108
5.081667,0.950706,0.839355,0.905813,0.94091
5.091667,0.951391,0.838565,0.905418,0.94064
5.101667,0.952181,0.837903,0.905106,0.940526
5.111667,0.953013,0.83724,0.904808,0.940423
5.121667,0.953848,0.836545,0.904496,0.940317
5.131667,0.954675,0.835812,0.904159,0.940188
5.141667,0.955506,0.835097,0.903817,0.940083
5.15,0.956195,0.834524,0.903523,0.940024
5.155,0.987848,0.973907,1.005573,0.998741
5.161667,0.9874,0.966767,1.003184,0.988163
5.171667,0.988672,0.967772,1.004134,0.989451
5.181667,0.989699,0.968171,1.004793,0.989845
5.191667,0.990889,0.969248,1.005812,0.990808
5.201667,0.991669,0.969992,1.006509,0.991538
5.211667,0.992216,0.97049,1.007048,0.991876
5.221667,0.992711,0.971284,1.007709,0.992494
5.231667,0.993129,0.972148,1.008414,0.993045
5.241667,0.99349,0.9731,1.009143,0.993698
5.251667,0.993609,0.974019,1.009805,0.994252
5.261667,0.993597,0.974948,1.010449,0.994777
5.271667,0.993481,0.975922,1.0111,0.995307
5.281667,0.993261,0.976922,1.011745,0.995834
5.291667,0.992917,0.977902,1.012349,0.99633
5.301667,0.992444,0.978828,1.012893,0.996768
5.311667,0.991853,0.979706,1.013379,0.997157
5.321667,0.991154,0.980531,1.013803,0.997497
5.331667,0.990347,0.981289,1.014156,0.997784
5.341667,0.989433,0.981959,1.014425,0.998004
5.351667,0.988418,0.982533,1.014607,0.998152
5.361667,0.987313,0.98301,1.014701,0.99823
5.371667,0.986126,0.983387,1.01471,0.998237
5.381667,0.984868,0.983661,1.014633,0.998173
5.391667,0.983548,0.98383,1.014473,0.998037
5.401667,0.982178,0.983897,1.014236,0.997831
5.411667,0.98077,0.983864,1.013929,0.997558
5.421667,0.979337,0.983736,1.013558,0.997221
5.431667,0.977892,0.983518,1.013132,0.996824
5.441667,0.976446,0.983214,1.012657,0.99637
5.451667,0.97501,0.982831,1.012143,0.995864
5.461667,0.973597,0.982374,1.011596,0.995309
5.471667,0.972216,0.981849,1.011024,0.99471
5.481667,0.970876,0.981261,1.010432,0.994071
5.491667,0.969585,0.980615,1.009827,0.993394
5.501667,0.968351,0.979915,1.009213,0.992685
5.511667,0.967178,0.979166,1.008594,0.991946
5.521667,0.966072,0.97837,1.007972,0.991181
5.531667,0.965035,0.977532,1.007349,0.990392
5.541667,0.96407,0.976654,1.006727,0.989583
5.551667,0.963177,0.975739,1.006105,0.988756
5.561667,0.962356,0.97479,1.005484,0.987914
5.571667,0.961606,0.97381,1.004864,0.987061
5.581667,0.960925,0.972802,1.004243,0.9862
5.591667,0.96031,0.971769,1.003621,0.985333
5.601667,0.95976,0.970716,1.002999,0.984465
5.611667,0.959269,0.969647,1.002376,0.983599
5.621667,0.958835,0.968567,1.001752,0.98274
5.631667,0.958453,0.967483,1.001128,0.981891
5.641667,0.958121,0.9664,1.000506,0.981059
5.651667,0.957834,0.965326,0.999888,0.980248
5.661667,0.957588,0.964268,0.999277,0.979463
5.671667,0.957382,0.963235,0.998677,0.97871
5.681667,0.957211,0.962235,0.99809,0.977994
5.691667,0.957074,0.961276,0.997522,0.97732
5.701667,0.956967,0.960369,0.996977,0.976695
5.711667,0.956891,0.95952,0.996461,0.976123
5.721667,0.956842,0.958739,0.995979,0.975609
5.731667,0.956821,0.958033,0.995535,0.975159
5.741667,0.956825,0.95741,0.995135,0.974775
5.751667,0.956856,0.956877,0.994784,0.974462
